01_1000040719233 | 《胶东文学》 | 《胶东文学》2026年第4期｜余显斌：砚圣 | 余显斌
01_1000040722936 | 《山东文学》 | 《山东文学》2026年第5期｜唐呱呱：响门 | 唐呱呱
01_1000040725538 | 《山西文学》 | 《山西文学》2026年第5期 | 王文海：在朔之州（组诗） | 王文海
01_1000040726851 | 《福建文学》 | 《福建文学》2026年第5期｜马星辉：一个美国人的邵武四十年 | 马星辉
01_1000040730035 | 动态 | 网络文学·青春榜之山东大学推文丨今朝《圣杯三》 | 
01_1000040731134 | 经典作家 | 柳青与中国当代现实主义文学 | 邢小利
01_1000040731138 | 文坛轶事 | 寻找太阳宫：小说、文献与一处地名的追踪 | 李煜东
01_1000040731139 | 中国作协 | 以乡土的窑火，淬炼出文学的时代精神 | 王泓烨
01_1000040731143 | 各地文讯 | 谈《成珍》说AI，“外卖诗人”给这座江南小城带来文学的清风 | 于锋
01_1000040731184 | 各地文讯 | 《读作家记》：书写莫言余华等54位当代文坛精英群像 | 蔡可心
01_1000040731449 | 动态 | 推理悬疑、历史玄幻与网文作家国际推介会在京举行 | 
01_1000040731530 | 文学评论 | “一巴掌小说”与沉浸式阅读 | 韩浩月
01_1000040731533 | 文学评论 | 叙事之变与主体重构——新乡土小说的美学新质与文化逻辑 | 廖 斌
01_1000040731534 | 理论热点 | 文学批评： “执两用中”，方能进入佳境 | 周思明
01_1000040731553 | 文学评论 | 致最难的友谊，最好的失败——读周嘉宁长篇小说《永结无情游》 | 刘欣玥
01_1000040731557 | 各地文讯 | 长篇报告文学《村超》新书举行首发式 | 杨文斌
01_1000040731562 | 各地文讯 | 文明对话国际日：当中国非遗剪纸遇见俄罗斯文学经典 | 田冰
01_1000040731567 | 文学评论 | 工业文学崛起与繁荣的历史见证 | 张炯
01_1000040731576 | 各地文讯 | E伯爵作品评价及新书改稿会在重庆举行 | 罗晓红
01_1000040731582 | 各地文讯 | 作家冯海《美·观》赏读会举行 | 李敏楠
01_1000040731585 | 各地文讯 | 茅盾文学奖获得者张炜受聘天津大学 | 吕慎 王艺钊 朱斌
01_1000040731587 | 各地文讯 | 曹志辉散文集《大地璎珞》读书分享会在长沙举行 | 
01_1000040731593 | 各地文讯 | 王莺散文集《北京花事》研讨会在京举行 | 李英俊
01_1000040731656 | 各地文讯 | 2026文学京彩季·大家小课首期开讲 | 高凯
01_1000040731795 | 各地文讯 | 传记文学、红色题材文学创作繁荣与原创内容保护座谈会在广州举行 | 雷爱侠 吕淑娟
02_1000040726856 | 《散文》 | 《散文》2026年第5期｜汪君艳：轻盈的食气者 | 汪君艳
02_1000040727010 | 《上海文学》 | 《上海文学》2026年第2期｜汗漫：在中国式风景里 | 汗漫
02_1000040731953 | 文史 | 走向田野——论中国当代文学研究的路径调整 | 张均
02_1000040731959 | 各地文讯 | 韩庆功：用文学守护民族文化根脉 | 贾丽华 郑欣宜 周伟
02_1000040731984 | 各地文讯 | “大地文心”生态文学作家采风广东行启动 | 杜娟
02_1000040732008 | 各地文讯 | 长篇报告文学《村超》新书举行首发式 | 杨文斌
02_1000040732032 | 品评 | 多声部的“合唱”与不断生成的“共同体”——新疆文学创作一瞥 | 杨一丹
02_1000040732055 | 各地文讯 | 2026文学京彩季·大家小课首期开讲 | 高凯
02_1000040732280 | 各地文讯 | 广西作家协会重大主题文学创作作品扶持名单公示 | 
02_1000040732292 | 文学评论 | 回归本真的散文写作——安黎散文的特点 | 鹿丁联
02_1000040732295 | 文学评论 | 文史互证 探测诗心——读赵柏田散文集《唐诗传》 | 贺仲明
02_1000040732297 | 文学评论 | 在新史料中发现一部更丰富立体的现代文学史 | 张占杰
02_1000040732304 | 文学评论 | 面对世界的一种姿态——读徐则臣散文集《我要从南走到北》 | 周其伦
02_1000040732306 | 文学评论 | 新写实视角下的军营镜像——读北乔中篇小说集《瞄准》 | 张志强
02_1000040732310 | 文学评论 | 人工智能文学有风格吗——兼论大语言模型的风格迁移路径 | 刘家夷
02_1000040732315 | 创作谈 | 家长里短和乡间八卦中蕴含着文学性与小说存在的诸多要素 | 钱墨痕
02_1000040732329 | 图书排行 | 6月文学报好书榜：人生一日、生活一隅，皆涌动世界的声光电 | 
02_1000040732443 | 各地文讯 | “民族文学与新大众文艺”学术研讨会在呼和浩特顺利举行 | 
02_1000040732446 | 各地文讯 | 长篇报告文学《村超》新书举行首发式 | 杨文斌
02_1000040732473 | 《山西文学》 | 《山西文学》2026年第6期卷首语及目录 | 
02_1000040732474 | 《作家》 | 《作家》2026年第6期目录 | 
